scenario,strategy,run,metric,value
E3,REDIS,lat500-r2,p99,3030.44214145
E3,REDIS,lat500-r2,violation_rate,0.000000
E3,REDIS,lat500-r3,p99,3087.0794424799983
E3,REDIS,lat500-r3,violation_rate,0.000000
E1,ZK,run1,throughput,199.91574516354197
E1,ZK,run1,p99,39.764399
E1,ZK,run1,p95,35.226787
E1,ZK,run2,throughput,199.93504647620654
E1,ZK,run2,p99,36.922067
E1,ZK,run2,p95,32.253359
E1,ZK,run3,throughput,199.92671620830137
E1,ZK,run3,p99,36.321322
E1,ZK,run3,p95,31.108537
E2,ZK,run1,violation_rate,0.000000
E2,ZK,run1,p99,200.89699122000002
E2,ZK,run1,side_effects_total,200
E2,ZK,run1,logical_ops,200
E2,ZK,run2,violation_rate,0.000000
E2,ZK,run2,p99,190.05683695000002
E2,ZK,run2,side_effects_total,200
E2,ZK,run2,logical_ops,200
E2,ZK,run3,violation_rate,0.000000
E2,ZK,run3,p99,186.97687876000012
E2,ZK,run3,side_effects_total,200
E2,ZK,run3,logical_ops,200
E3,ZK,lat0-r1,p99,8.524897
E3,ZK,lat0-r1,violation_rate,0.000000
E3,ZK,lat0-r2,p99,8.009293
E3,ZK,lat0-r2,violation_rate,0.000000
E3,ZK,lat0-r3,p99,8.233107
E3,ZK,lat0-r3,violation_rate,0.000000
E3,ZK,lat25-r1,p99,358.688551
E3,ZK,lat25-r1,violation_rate,0.000000
E3,ZK,lat25-r2,p99,355.815979
E3,ZK,lat25-r2,violation_rate,0.000000
E3,ZK,lat25-r3,p99,385.26536304000007
E3,ZK,lat25-r3,violation_rate,0.000000
E3,ZK,lat50-r1,p99,792.50738
E3,ZK,lat50-r1,violation_rate,0.000000
E3,ZK,lat50-r2,p99,695.8017245000002
E3,ZK,lat50-r2,violation_rate,0.000000
E3,ZK,lat50-r3,p99,729.9542638400035
E3,ZK,lat50-r3,violation_rate,0.000000
E3,ZK,lat100-r1,p99,2018.0908359199973
E3,ZK,lat100-r1,violation_rate,0.000000
E3,ZK,lat100-r2,p99,2019.492392849999
E3,ZK,lat100-r2,violation_rate,0.000000
E3,ZK,lat100-r3,p99,2032.9792659499972
E3,ZK,lat100-r3,violation_rate,0.000000
E3,ZK,lat250-r1,p99,3060.2865213200002
E3,ZK,lat250-r1,violation_rate,0.000000
E3,ZK,lat250-r2,p99,3053.93837832
E3,ZK,lat250-r2,violation_rate,0.000000
E3,ZK,lat250-r3,p99,3057.76121254
E3,ZK,lat250-r3,violation_rate,0.000000
E3,ZK,lat500-r1,p99,5103.45892242
E3,ZK,lat500-r1,violation_rate,0.000000
E3,ZK,lat500-r2,p99,5101.4273723
E3,ZK,lat500-r2,violation_rate,0.000000
E3,ZK,lat500-r3,p99,5095.26022626
E3,ZK,lat500-r3,violation_rate,0.000000
E1,KAFKA,run1,throughput,200.00818659289965
E1,KAFKA,run1,p99,2.422092
E1,KAFKA,run1,p95,1.899327
E1,KAFKA,run2,throughput,200.0090489420205
E1,KAFKA,run2,p99,1.626998
E1,KAFKA,run2,p95,1.405139
E1,KAFKA,run3,throughput,200.00706561415865
E1,KAFKA,run3,p99,1.650461
E1,KAFKA,run3,p95,1.432472
E2,KAFKA,run1,violation_rate,0.000000
E2,KAFKA,run1,p99,24.968399190000028
E2,KAFKA,run1,side_effects_total,0
E2,KAFKA,run1,logical_ops,0
E2,KAFKA,run2,violation_rate,0.000000
E2,KAFKA,run2,p99,18.158010200000003
E2,KAFKA,run2,side_effects_total,0
E2,KAFKA,run2,logical_ops,0
E2,KAFKA,run3,violation_rate,0.000000
E2,KAFKA,run3,p99,23.35343665
E2,KAFKA,run3,side_effects_total,200
E2,KAFKA,run3,logical_ops,200
E3,KAFKA,lat0-r1,p99,2.093551
E3,KAFKA,lat0-r1,violation_rate,0.000000
E3,KAFKA,lat0-r2,p99,1.634947
E3,KAFKA,lat0-r2,violation_rate,0.000000
E3,KAFKA,lat0-r3,p99,1.646029
E3,KAFKA,lat0-r3,violation_rate,0.000000
E3,KAFKA,lat25-r1,p99,1.729853
E3,KAFKA,lat25-r1,violation_rate,0.000000
E3,KAFKA,lat25-r2,p99,1.744133
E3,KAFKA,lat25-r2,violation_rate,0.000000
E3,KAFKA,lat25-r3,p99,1.771576
E3,KAFKA,lat25-r3,violation_rate,0.000000
E3,KAFKA,lat50-r1,p99,1.72129894
E3,KAFKA,lat50-r1,violation_rate,0.000000
E3,KAFKA,lat50-r2,p99,1.740362
E3,KAFKA,lat50-r2,violation_rate,0.000000
E3,KAFKA,lat50-r3,p99,1.732816
E3,KAFKA,lat50-r3,violation_rate,0.000000
E3,KAFKA,lat100-r1,p99,1.808235
E3,KAFKA,lat100-r1,violation_rate,0.000000
E3,KAFKA,lat100-r2,p99,1.811786
E3,KAFKA,lat100-r2,violation_rate,0.000000
E3,KAFKA,lat100-r3,p99,1.863978
E3,KAFKA,lat100-r3,violation_rate,0.000000
E3,KAFKA,lat250-r1,p99,1.899532
E3,KAFKA,lat250-r1,violation_rate,0.000000
E3,KAFKA,lat250-r2,p99,1.835941
E3,KAFKA,lat250-r2,violation_rate,0.000000
E3,KAFKA,lat250-r3,p99,1.832556
E3,KAFKA,lat250-r3,violation_rate,0.000000
E3,KAFKA,lat500-r1,p99,1.840049
E3,KAFKA,lat500-r1,violation_rate,0.000000
E3,KAFKA,lat500-r2,p99,1.886383
E3,KAFKA,lat500-r2,violation_rate,0.000000
E3,KAFKA,lat500-r3,p99,1.892672
E3,KAFKA,lat500-r3,violation_rate,0.000000
E1,OUTBOX,run1,throughput,200.00007620367873
E1,OUTBOX,run1,p99,6.731404
E1,OUTBOX,run1,p95,5.909635
E1,OUTBOX,run2,throughput,199.99947340526953
E1,OUTBOX,run2,p99,5.932083
E1,OUTBOX,run2,p95,5.23637
E1,OUTBOX,run3,throughput,200.0010583640708
E1,OUTBOX,run3,p99,6.108361
E1,OUTBOX,run3,p95,5.327541
E2,OUTBOX,run1,violation_rate,0.000000
E2,OUTBOX,run1,p99,161.56561900000003
E2,OUTBOX,run1,side_effects_total,0
E2,OUTBOX,run1,logical_ops,0
E2,OUTBOX,run2,violation_rate,0.000000
E2,OUTBOX,run2,p99,139.02275947
E2,OUTBOX,run2,side_effects_total,0
E2,OUTBOX,run2,logical_ops,0
E2,OUTBOX,run3,violation_rate,0.000000
E2,OUTBOX,run3,p99,133.28180843
E2,OUTBOX,run3,side_effects_total,0
E2,OUTBOX,run3,logical_ops,0
E3,OUTBOX,lat0-r1,p99,14.029968
E3,OUTBOX,lat0-r1,violation_rate,0.000000
E3,OUTBOX,lat0-r2,p99,8.143114
E3,OUTBOX,lat0-r2,violation_rate,0.000000
E3,OUTBOX,lat0-r3,p99,7.447176
E3,OUTBOX,lat0-r3,violation_rate,0.000000
E3,OUTBOX,lat25-r1,p99,297.978753
E3,OUTBOX,lat25-r1,violation_rate,0.000000
E3,OUTBOX,lat25-r2,p99,316.497226
E3,OUTBOX,lat25-r2,violation_rate,0.000000
E3,OUTBOX,lat25-r3,p99,297.952305
E3,OUTBOX,lat25-r3,violation_rate,0.000000
E3,OUTBOX,lat50-r1,p99,1024.53754901
E3,OUTBOX,lat50-r1,violation_rate,0.000000
E3,OUTBOX,lat50-r2,p99,993.764075
E3,OUTBOX,lat50-r2,violation_rate,0.000000
E3,OUTBOX,lat50-r3,p99,1092.56497
E3,OUTBOX,lat50-r3,violation_rate,0.000000
E3,OUTBOX,lat100-r1,p99,6097.3335164
E3,OUTBOX,lat100-r1,violation_rate,0.000000
E3,OUTBOX,lat100-r2,p99,6699.15891473
E3,OUTBOX,lat100-r2,violation_rate,0.000000
E3,OUTBOX,lat100-r3,p99,6425.566720960014
E3,OUTBOX,lat100-r3,violation_rate,0.000000
E3,OUTBOX,lat250-r1,p99,9566.648978700008
E3,OUTBOX,lat250-r1,violation_rate,0.000000
E3,OUTBOX,lat250-r2,p99,9561.072715639997
E3,OUTBOX,lat250-r2,violation_rate,0.000000
E3,OUTBOX,lat250-r3,p99,10000.2779675
E3,OUTBOX,lat250-r3,violation_rate,0.000000
E3,OUTBOX,lat500-r1,p99,10000.614475999999
E3,OUTBOX,lat500-r1,violation_rate,0.000000
E3,OUTBOX,lat500-r2,p99,10000.53783725
E3,OUTBOX,lat500-r2,violation_rate,0.000000
E3,OUTBOX,lat500-r3,p99,10000.603486940001
E3,OUTBOX,lat500-r3,violation_rate,0.000000
E1,PAYLOAD_HASH,run1,throughput,200.00492950738172
E1,PAYLOAD_HASH,run1,p99,12.083348
E1,PAYLOAD_HASH,run1,p95,9.884883
E1,PAYLOAD_HASH,run2,throughput,199.98856628988298
E1,PAYLOAD_HASH,run2,p99,10.445276
E1,PAYLOAD_HASH,run2,p95,8.153974
E1,PAYLOAD_HASH,run3,throughput,199.9929746467866
E1,PAYLOAD_HASH,run3,p99,10.084429440000001
E1,PAYLOAD_HASH,run3,p95,8.220766549999999
E2,PAYLOAD_HASH,run1,violation_rate,0.000000
E2,PAYLOAD_HASH,run1,p99,162.24945396000004
E2,PAYLOAD_HASH,run1,side_effects_total,1452
E2,PAYLOAD_HASH,run1,logical_ops,1452
E2,PAYLOAD_HASH,run2,violation_rate,0.000000
E2,PAYLOAD_HASH,run2,p99,101.50022666000004
E2,PAYLOAD_HASH,run2,side_effects_total,1158
E2,PAYLOAD_HASH,run2,logical_ops,1158
E2,PAYLOAD_HASH,run3,violation_rate,0.000000
E2,PAYLOAD_HASH,run3,p99,80.03768524000002
E2,PAYLOAD_HASH,run3,side_effects_total,1108
E2,PAYLOAD_HASH,run3,logical_ops,1108
E3,PAYLOAD_HASH,lat0-r1,p99,5.068791
E3,PAYLOAD_HASH,lat0-r1,violation_rate,0.000000
E3,PAYLOAD_HASH,lat0-r2,p99,4.413177700000001
E3,PAYLOAD_HASH,lat0-r2,violation_rate,0.000000
E3,PAYLOAD_HASH,lat0-r3,p99,4.464263
E3,PAYLOAD_HASH,lat0-r3,violation_rate,0.000000
E3,PAYLOAD_HASH,lat25-r1,p99,132.11631
E3,PAYLOAD_HASH,lat25-r1,violation_rate,0.000000
E3,PAYLOAD_HASH,lat25-r2,p99,130.524204
E3,PAYLOAD_HASH,lat25-r2,violation_rate,0.000000
E3,PAYLOAD_HASH,lat25-r3,p99,132.987961
E3,PAYLOAD_HASH,lat25-r3,violation_rate,0.000000
E3,PAYLOAD_HASH,lat50-r1,p99,380.43386649
E3,PAYLOAD_HASH,lat50-r1,violation_rate,0.000000
E3,PAYLOAD_HASH,lat50-r2,p99,398.288095
E3,PAYLOAD_HASH,lat50-r2,violation_rate,0.000000
E3,PAYLOAD_HASH,lat50-r3,p99,394.19984
E3,PAYLOAD_HASH,lat50-r3,violation_rate,0.000000
E3,PAYLOAD_HASH,lat100-r1,p99,876.885582
E3,PAYLOAD_HASH,lat100-r1,violation_rate,0.000000
E3,PAYLOAD_HASH,lat100-r2,p99,865.404461
E3,PAYLOAD_HASH,lat100-r2,violation_rate,0.000000
E3,PAYLOAD_HASH,lat100-r3,p99,865.593672
E3,PAYLOAD_HASH,lat100-r3,violation_rate,0.000000
E3,PAYLOAD_HASH,lat250-r1,p99,2943.0456957699926
E3,PAYLOAD_HASH,lat250-r1,violation_rate,0.000000
E3,PAYLOAD_HASH,lat250-r2,p99,3067.7930723999984
E3,PAYLOAD_HASH,lat250-r2,violation_rate,0.000000
E3,PAYLOAD_HASH,lat250-r3,p99,3111.8532941199983
E3,PAYLOAD_HASH,lat250-r3,violation_rate,0.000000
E3,PAYLOAD_HASH,lat500-r1,p99,5450.667788400004
E3,PAYLOAD_HASH,lat500-r1,violation_rate,0.000000
E3,PAYLOAD_HASH,lat500-r2,p99,6489.653731000002
E3,PAYLOAD_HASH,lat500-r2,violation_rate,0.000000
E3,PAYLOAD_HASH,lat500-r3,p99,5791.267261749992
E3,PAYLOAD_HASH,lat500-r3,violation_rate,0.000000
E4,DB,run1,violation_rate,0.000000
E4,DB,run1,error_rate,0.141347
E4,DB,run1,recovery_s,2.42
E4,DB,run1,logical_ops,54
E4,DB,run2,violation_rate,0.000000
E4,DB,run2,error_rate,0.143515
E4,DB,run2,recovery_s,2.43
E4,DB,run2,logical_ops,54
E4,DB,run3,violation_rate,0.000000
E4,DB,run3,error_rate,0.142092
E4,DB,run3,recovery_s,2.49
E4,DB,run3,logical_ops,64
E4,REDIS,run1,violation_rate,0.000000
E4,REDIS,run1,error_rate,0.0796034
E4,REDIS,run1,recovery_s,0.04
E4,REDIS,run1,logical_ops,50
E4,REDIS,run2,violation_rate,0.000000
E4,REDIS,run2,error_rate,0.0822864
E4,REDIS,run2,recovery_s,0.04
E4,REDIS,run2,logical_ops,50
E4,REDIS,run3,violation_rate,0.000000
E4,REDIS,run3,error_rate,0.0958598
E4,REDIS,run3,recovery_s,1.64
E4,REDIS,run3,logical_ops,50
E4,ZK,run1,violation_rate,0.000000
E4,ZK,run1,error_rate,0.0269448
E4,ZK,run1,recovery_s,0.93
E4,ZK,run1,logical_ops,50
E4,ZK,run2,violation_rate,0.000000
E4,ZK,run2,error_rate,0.0236332
E4,ZK,run2,recovery_s,1.38
E4,ZK,run2,logical_ops,50
E4,ZK,run3,violation_rate,0.000000
E4,ZK,run3,error_rate,0.0285672
E4,ZK,run3,recovery_s,0.43
E4,ZK,run3,logical_ops,50
E5,REDIS,run1,premature_expirations,0
E5,REDIS,run1,stale_locks,0
E5,REDIS,run1,lock_timeouts,0
E5,REDIS,run1,violation_rate,0.000000
E5,REDIS,run1,logical_ops,40
E5,ZK,run1,premature_expirations,0
E5,ZK,run1,stale_locks,0
E5,ZK,run1,lock_timeouts,0
E5,ZK,run1,violation_rate,0.000000
E5,ZK,run1,logical_ops,40
E5,REDIS_TS,run1,premature_expirations,163
E5,REDIS_TS,run1,stale_locks,0
E5,REDIS_TS,run1,lock_timeouts,3
E5,REDIS_TS,run1,violation_rate,0.000000
E5,REDIS_TS,run1,logical_ops,70
E5,REDIS,run2,premature_expirations,0
E5,REDIS,run2,stale_locks,0
E5,REDIS,run2,lock_timeouts,0
E5,REDIS,run2,violation_rate,0.000000
E5,REDIS,run2,logical_ops,40
E5,ZK,run2,premature_expirations,0
E5,ZK,run2,stale_locks,0
E5,ZK,run2,lock_timeouts,0
E5,ZK,run2,violation_rate,0.000000
E5,ZK,run2,logical_ops,40
E5,REDIS_TS,run2,premature_expirations,178
E5,REDIS_TS,run2,stale_locks,0
E5,REDIS_TS,run2,lock_timeouts,1
E5,REDIS_TS,run2,violation_rate,0.000000
E5,REDIS_TS,run2,logical_ops,77
E5,REDIS,run3,premature_expirations,0
E5,REDIS,run3,stale_locks,0
E5,REDIS,run3,lock_timeouts,0
E5,REDIS,run3,violation_rate,0.000000
E5,REDIS,run3,logical_ops,40
E5,ZK,run3,premature_expirations,0
E5,ZK,run3,stale_locks,0
E5,ZK,run3,lock_timeouts,0
E5,ZK,run3,violation_rate,0.000000
E5,ZK,run3,logical_ops,40
E5,REDIS_TS,run3,premature_expirations,163
E5,REDIS_TS,run3,stale_locks,0
E5,REDIS_TS,run3,lock_timeouts,3
E5,REDIS_TS,run3,violation_rate,0.000000
E5,REDIS_TS,run3,logical_ops,64
E6,KAFKA,run1,violation_rate,0.000000
E6,KAFKA,run1,redeliveries,0
E6,KAFKA,run1,duplicates_suppressed,8482
E6,KAFKA,run1,logical_ops,564
E6,KAFKA,run2,violation_rate,0.000000
E6,KAFKA,run2,redeliveries,0
E6,KAFKA,run2,duplicates_suppressed,7564
E6,KAFKA,run2,logical_ops,565
E6,KAFKA,run3,violation_rate,0.000000
E6,KAFKA,run3,redeliveries,0
E6,KAFKA,run3,duplicates_suppressed,6671
E6,KAFKA,run3,logical_ops,564
E7,PAYLOAD_HASH,run1,conflict_accuracy,1
E7,PAYLOAD_HASH,run1,correct_conflict,2000
E7,PAYLOAD_HASH,run1,incorrect_replay,0
E7,PAYLOAD_HASH,run1,first_applied,2000
E7,PAYLOAD_HASH,run2,conflict_accuracy,1
E7,PAYLOAD_HASH,run2,correct_conflict,2000
E7,PAYLOAD_HASH,run2,incorrect_replay,0
E7,PAYLOAD_HASH,run2,first_applied,2000
E7,PAYLOAD_HASH,run3,conflict_accuracy,1
E7,PAYLOAD_HASH,run3,correct_conflict,2000
E7,PAYLOAD_HASH,run3,incorrect_replay,0
E7,PAYLOAD_HASH,run3,first_applied,2000
E7,DB,run1,conflict_accuracy,1
E7,DB,run1,correct_conflict,2000
E7,DB,run1,incorrect_replay,0
E7,DB,run1,first_applied,2000
E7,DB,run2,conflict_accuracy,1
E7,DB,run2,correct_conflict,2000
E7,DB,run2,incorrect_replay,0
E7,DB,run2,first_applied,2000
E7,DB,run3,conflict_accuracy,1
E7,DB,run3,correct_conflict,2000
E7,DB,run3,incorrect_replay,0
E7,DB,run3,first_applied,2000
